Instance,Seed,Best Incumbent,BestBound,SolutionTime,GAP,Nodes,SimplexIterations,Median
I_5_10_0.txt,2025,16.0,16.0,0.11822104454040527,0.0,1.0,288.0,1100
I_5_10_1.txt,2025,11.0,11.0,0.04241490364074707,0.0,1.0,104.0,0100
I_5_10_2.txt,2025,14.0,14.0,0.09008502960205078,0.0,1.0,249.0,0101
I_5_20_0.txt,2025,32.0,32.0,0.16995882987976074,0.0,1.0,471.0,10010
I_5_20_1.txt,2025,36.0,36.0,0.23212409019470215,0.0,1.0,490.0,10100
I_5_20_2.txt,2025,29.0,29.0,0.14439916610717773,0.0,1.0,344.0,10110
I_5_30_0.txt,2025,53.0,53.0,0.4497029781341553,0.0,42.0,2187.0,11010
I_5_30_1.txt,2025,53.0,53.0,0.34352779388427734,0.0,1.0,756.0,10010
I_5_30_2.txt,2025,51.0,51.0,0.3536379337310791,0.0,1.0,872.0,01010
I_5_40_0.txt,2025,66.0,66.0,0.3842010498046875,0.0,1.0,736.0,10100
I_5_40_1.txt,2025,68.0,68.0,0.4088599681854248,0.0,1.0,920.0,00100
I_5_40_2.txt,2025,68.0,68.0,0.3477468490600586,0.0,1.0,700.0,10110
I_5_50_0.txt,2025,83.0,83.0,0.37900400161743164,0.0,1.0,749.0,01010
I_5_50_1.txt,2025,87.0,87.0,0.4493839740753174,0.0,1.0,870.0,10100
I_5_50_2.txt,2025,86.0,86.0,0.4979979991912842,0.0,1.0,898.0,01010
I_10_10_0.txt,2025,26.0,26.0,0.9029061794281006,0.0,141.0,5996.0,010011011
I_10_10_1.txt,2025,25.0,25.0,0.7683959007263184,0.0,103.0,4526.0,00101100
I_10_10_2.txt,2025,24.0,24.0,0.656386137008667,0.0,112.0,3780.0,1010100
I_10_20_0.txt,2025,52.0,52.0,1.9644360542297363,0.0,95.0,9478.0,01001010
I_10_20_1.txt,2025,57.0,57.0,2.3224830627441406,0.0,252.0,16160.0,01010100
I_10_20_2.txt,2025,61.0,61.0,2.1902852058410645,0.0,222.0,16065.0,01101100
I_10_30_0.txt,2025,82.0,82.0,3.1702940464019775,0.0,174.0,18602.0,10010100
I_10_30_1.txt,2025,89.0,89.0,3.9690868854522705,0.0,378.0,32148.0,101001010
I_10_30_2.txt,2025,90.0,90.0,4.154117107391357,0.0,361.0,32064.0,010000100
I_10_40_0.txt,2025,116.0,116.0,5.015125036239624,0.0,252.0,28408.0,00110100
I_10_40_1.txt,2025,118.0,118.0,6.954560041427612,0.0,304.0,44787.0,01011010
I_10_40_2.txt,2025,119.0,119.0,5.668572187423706,0.0,346.0,36096.0,0100101
I_10_50_0.txt,2025,148.0,148.0,6.757067918777466,0.0,302.0,44831.0,11011010
